year,category,sex,BP,SM,DM,BMI
14.82,M4121,M,4,1,2,1
17.27,M4122,M,4,1,2,2
18.05,M4123,M,4,1,2,3
16.16,M4124,M,4,1,2,4
13.57,M4221,M,4,2,2,1
15.63,M4222,M,4,2,2,2
16.43,M4223,M,4,2,2,3
14.93,M4224,M,4,2,2,4
11.88,M4321,M,4,3,2,1
13.79,M4322,M,4,3,2,2
14.6,M4323,M,4,3,2,3
12.93,M4324,M,4,3,2,4
22.59,F1111,F,1,1,1,1
26.3,F1112,F,1,1,1,2
26.11,F1113,F,1,1,1,3
27.27,F1114,F,1,1,1,4
18.15,F1211,F,1,2,1,1
21.15,F1212,F,1,2,1,2
21.02,F1213,F,1,2,1,3
21.81,F1214,F,1,2,1,4
18.79,F1311,F,1,3,1,1
22.06,F1312,F,1,3,1,2
22.01,F1313,F,1,3,1,3
23.2,F1314,F,1,3,1,4
21.12,F2111,F,2,1,1,1
25.16,F2112,F,2,1,1,2
24.87,F2113,F,2,1,1,3
26.28,F2114,F,2,1,1,4
26.89,F2211,F,2,2,1,1
19.82,F2212,F,2,2,1,2
19.64,F2213,F,2,2,1,3
20.34,F2214,F,2,2,1,4
17.62,F2311,F,2,3,1,1
21.27,F2312,F,2,3,1,2
21.18,F2313,F,2,3,1,3
22.53,F2314,F,2,3,1,4
19.98,F3111,F,3,1,1,1
21.65,F3112,F,3,1,1,2
23.35,F3113,F,3,1,1,3
24.49,F3114,F,3,1,1,4
15.89,F3211,F,3,2,1,1
18.75,F3212,F,3,2,1,2
18.56,F3213,F,3,2,1,3
19.22,F3214,F,3,2,1,4
16.63,F3311,F,3,3,1,1
19.98,F3312,F,3,3,1,2
19.87,F3313,F,3,3,1,3
21.09,F3314,F,3,3,1,4
18.93,F4111,F,4,1,1,1
22.44,F4112,F,4,1,1,2
22.14,F4113,F,4,1,1,3
23.17,F4114,F,4,1,1,4
14.98,F4211,F,4,2,1,1
17.76,F4212,F,4,2,1,2
17.56,F4213,F,4,2,1,3
18.18,F4214,F,4,2,1,4
15.73,F4311,F,4,3,1,1
18.95,F4312,F,4,3,1,2
18.83,F4313,F,4,3,1,3
19.98,F4314,F,4,3,1,4
18.31,F1121,F,1,1,2,1
21.65,F1122,F,1,1,2,2
21.47,F1123,F,1,1,2,3
22.54,F1124,F,1,1,2,4
14.35,F1221,F,1,2,2,1
17.03,F1222,F,1,2,2,2
16.92,F1223,F,1,2,2,3
17.62,F1224,F,1,2,2,4
14.91,F1321,F,1,3,2,1
17.95,F1322,F,1,3,2,2
17.91,F1323,F,1,3,2,3
19.05,F1324,F,1,3,2,4
17.01,F2121,F,2,1,2,1
20.82,F2122,F,2,1,2,2
20.56,F2123,F,2,1,2,3
21.91,F2124,F,2,1,2,4
13.24,F2221,F,2,2,2,1
15.85,F2222,F,2,2,2,2
15.7,F2223,F,2,2,2,3
16.32,F2224,F,2,2,2,4
13.87,F2321,F,2,3,2,1
17.31,F2322,F,2,3,2,2
17.26,F2323,F,2,3,2,3
18.5,F2324,F,2,3,2,4
16,F3121,F,3,1,2,1
19.42,F3122,F,3,1,2,2
19.16,F3123,F,3,1,2,3
20.27,F3124,F,3,1,2,4
12.36,F3221,F,3,2,2,1
14.89,F3222,F,3,2,2,2
14.73,F3223,F,3,2,2,3
15.32,F3224,F,3,2,2,4
13,F3321,F,3,3,2,1
16.13,F3322,F,3,3,2,2
16.05,F3323,F,3,3,2,3
17.21,F3324,F,3,3,2,4
15.07,F4121,F,4,1,2,1
18.34,F4122,F,4,1,2,2
18.07,F4123,F,4,1,2,3
19.08,F4124,F,4,1,2,4
11.57,F4221,F,4,2,2,1
14.01,F4222,F,4,2,2,2
13.85,F4223,F,4,2,2,3
14.4,F4224,F,4,2,2,4
12.2,F4321,F,4,3,2,1
15.2,F4322,F,4,3,2,2
15.1,F4323,F,4,3,2,3
16.21,F4324,F,4,3,2,4
